source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD027068_NCB4460A2LC3_B1_NCB4460A2LC3-40-210633	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	225	PXD027068_NCB4460A2LC3_B1_NCB4460A2LC3-40-210633_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4460A2LC3_B1_NCB4460A2LC3-40-210633.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4496A10LC3_B2_NCB4496A10LC3-40-211901	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	226	PXD027068_NCB4496A10LC3_B2_NCB4496A10LC3-40-211901_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4496A10LC3_B2_NCB4496A10LC3-40-211901.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4459A161LC3_E10_NCB4459A161LC3-40-209120	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	227	PXD027068_NCB4459A161LC3_E10_NCB4459A161LC3-40-209120_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4459A161LC3_E10_NCB4459A161LC3-40-209120.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4497A51LC2_C10_NCB4497A51LC2-40-215384	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	228	PXD027068_NCB4497A51LC2_C10_NCB4497A51LC2-40-215384_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4497A51LC2_C10_NCB4497A51LC2-40-215384.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4459A94LC3_B2_NCB4459A94LC3-40-208661	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	229	PXD027068_NCB4459A94LC3_B2_NCB4459A94LC3-40-208661_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4459A94LC3_B2_NCB4459A94LC3-40-208661.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4509A3LC2_C1_NCB4509A3LC3-40-215637	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	230	PXD027068_NCB4509A3LC2_C1_NCB4509A3LC3-40-215637_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4509A3LC2_C1_NCB4509A3LC3-40-215637.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4461A17LC3_A3_NCB4461A17LC3-40-209136	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	231	PXD027068_NCB4461A17LC3_A3_NCB4461A17LC3-40-209136_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4461A17LC3_A3_NCB4461A17LC3-40-209136.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4580A34LC2_F6	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	2	PXD027068_NCB4580A34LC2_F6_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	6	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4580A34LC2_F6.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4509A20LC2_D3_NCB4509A20LC3-40-215754	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	232	PXD027068_NCB4509A20LC2_D3_NCB4509A20LC3-40-215754_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4509A20LC2_D3_NCB4509A20LC3-40-215754.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4510A30LC2_B6_NCB4510A30LC2-40-216357	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	233	PXD027068_NCB4510A30LC2_B6_NCB4510A30LC2-40-216357_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4510A30LC2_B6_NCB4510A30LC2-40-216357.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4460A6LC3_F1_NCB4460A6LC3-40-210637	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	234	PXD027068_NCB4460A6LC3_F1_NCB4460A6LC3-40-210637_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4460A6LC3_F1_NCB4460A6LC3-40-210637.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4510A53LC2_E10_NCB4510A53LC2-40-216380	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	235	PXD027068_NCB4510A53LC2_E10_NCB4510A53LC2-40-216380_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4510A53LC2_E10_NCB4510A53LC2-40-216380.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4497A36LC2_H6_NCB4497A36LC2-40-215367	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	236	PXD027068_NCB4497A36LC2_H6_NCB4497A36LC2-40-215367_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4497A36LC2_H6_NCB4497A36LC2-40-215367.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4461A43LC3_C6_NCB4461A43LC3-40-210662	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	237	PXD027068_NCB4461A43LC3_C6_NCB4461A43LC3-40-210662_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4461A43LC3_C6_NCB4461A43LC3-40-210662.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4460A51LC3_C7_NCB4460A51LC3-40-210546	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	238	PXD027068_NCB4460A51LC3_C7_NCB4460A51LC3-40-210546_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4460A51LC3_C7_NCB4460A51LC3-40-210546.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4510A15LC2_G2_NCB4510A15LC2-40-216242	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	239	PXD027068_NCB4510A15LC2_G2_NCB4510A15LC2-40-216242_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4510A15LC2_G2_NCB4510A15LC2-40-216242.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4496A75LC3_C10_NCB4496A75LC3-40-214552	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	240	PXD027068_NCB4496A75LC3_C10_NCB4496A75LC3-40-214552_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4496A75LC3_C10_NCB4496A75LC3-40-214552.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4496A69LC3_E9_NCB4496A69LC3-40-214346	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	241	PXD027068_NCB4496A69LC3_E9_NCB4496A69LC3-40-214346_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4496A69LC3_E9_NCB4496A69LC3-40-214346.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4459A125LC3_A6_NCB4459A125LC3-40-209072	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	242	PXD027068_NCB4459A125LC3_A6_NCB4459A125LC3-40-209072_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4459A125LC3_A6_NCB4459A125LC3-40-209072.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4497A9LC2_A2_NCB4497A9LC2-40-215398	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	243	PXD027068_NCB4497A9LC2_A2_NCB4497A9LC2-40-215398_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4497A9LC2_A2_NCB4497A9LC2-40-215398.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4580A26LC2_F5	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	6	PXD027068_NCB4580A26LC2_F5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	5	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4580A26LC2_F5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4509A6LC2_F1_NCB4509A6LC3-40-215640	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	244	PXD027068_NCB4509A6LC2_F1_NCB4509A6LC3-40-215640_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4509A6LC2_F1_NCB4509A6LC3-40-215640.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
PXD027068_NCB4509A9LC2_A2_NCB4509A9LC3-40-215643	Caenorhabditis elegans	gut, muscle, skin, and nervous system	neurons (including AFD neurons)	245	PXD027068_NCB4509A9LC2_A2_NCB4509A9LC3-40-215643_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:2;TA=Protein N-term;MT=Variable	NT=Deamidation;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	NT=K-Biot;AC=null;TA=K;MT=Variable	NT=N-termBiot;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	2 h	22 °C	NCB4509A9LC2_A2_NCB4509A9LC3-40-215643.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=invertebrates;VV=v1.1.0
